ID,ANO_NASCIMENTO,ESCOLARIDADE,ESTADO_CIVIL,RENDA_DOMICILIAR_ANUAL,GASTOS_VINHOS,GASTOS_CARNES,COMPRAS_ONLINE,COMPRAS_PRESENCIAIS
10250,1947,Basic,Together,28389,1,3,1,2
7990,1947,Graduation,Married,27469,9,2,0,3
6963,1947,Graduation,Single,77457,675,400,2,10
10814,1947,Graduation,Together,70321,303,751,6,13
6203,1947,Graduation,Together,74485,499,815,6,12
2079,1947,2n Cycle,Married,81044,450,535,5,10
9952,1947,Master,Together,78093,368,639,4,5
1173,1947,Master,Together,77632,1200,758,4,6
7718,1947,Master,Together,66000,244,270,1,5
6248,1947,Master,Single,91712,1276,746,9,11
455,1946,PhD,Married,51012,102,63,4,4
182,1946,PhD,Together,44124,284,55,6,5
2878,1947,PhD,Married,67472,162,127,4,7
5529,1946,PhD,Together,64014,406,30,8,5
7712,1946,PhD,Single,62159,182,259,6,10
3945,1947,PhD,Widow,68117,618,215,11,4
